name,amenity,lat,lon
Generic Medicals,pharmacy,17.7716315,83.2378589
Annapurna Restaurant,restaurant,17.7716304,83.2380398
Apollo Pharmacy,pharmacy,17.7713699,83.23695
Zeeshan Restaurant,restaurant,17.7386151,83.3232743
Maaya,restaurant,17.7413121,83.3272678
Life Pharmacy,pharmacy,17.7471388,83.329314
Lakshya Pharmacy,pharmacy,17.7475773,83.330873
Sri Gowri Medicals,pharmacy,17.8024962,83.3527717
Apollo Pharmacy,pharmacy,17.8034519,83.3527695
Teluginti,restaurant,17.8084315,83.3550498
Sri Aditya Medical,pharmacy,17.8103757,83.2079558
Generic Medical Store,pharmacy,17.8096092,83.2080662
Dr. Gunturu Indira,clinic,17.8095921,83.2081267
Murali Medical,pharmacy,17.8094772,83.2081298
Maathrusree,clinic,17.8079141,83.2087422
Nawabi Mandi Darbar,restaurant,17.8067197,83.2083716
Sri Lakshmi Medicals & General Stores,pharmacy,17.8004314,83.2105125
Ramu Medical,pharmacy,17.7993582,83.2108277
Drugmart Medicals,pharmacy,17.7991986,83.2108501
Mothers Care Clinic,clinic,17.7982745,83.211095
Hotel muntaj,restaurant,17.798121,83.2111845
Shyam Sundar Medical Care,clinic,17.7977167,83.2112363
The School of Autism,school,17.7437218,83.3310416
MedPlus,pharmacy,17.7440648,83.3314955
MedPlus,pharmacy,17.7356552,83.3334101
Sri Orthopedic & Physiotheraphy Clinic,clinic,17.7361703,83.3339276
La Pino'z Pizza,restaurant,17.7362559,83.3340298
Venkatalaxmi Medical,pharmacy,17.7365275,83.3343828
KIMS Hospitals,hospital,17.7373995,83.3353795
KIMS Fertility,clinic,17.7374553,83.3354205
Smart Health Clinic,clinic,17.7375464,83.3355691
Veera Clinic,clinic,17.7377773,83.336297
Dr. Ram's Heart & Multispeciality Clinic,clinic,17.7383032,83.3364167
Apollo Pharmacy,pharmacy,17.7464492,83.3320262
Padmavathi Restaurant,restaurant,17.7467675,83.3316998
SR Medical Center,clinic,17.7457642,83.3316544
Varshini Medicals,pharmacy,17.7044393,83.2975669
Apollo Pharmacy,pharmacy,17.704318,83.2975412
Rama Krishna  Medical Stores,pharmacy,17.7020158,83.2962077
Pavitra Medical & General Stores,pharmacy,17.9292438,83.4243684
Visakha Medicals,pharmacy,17.9297759,83.4247984
Vajra Chandra Medical & General,pharmacy,17.9306323,83.4254566
Apollo Pharmacy,pharmacy,17.9312281,83.4258448
Apollo Pharmacy,pharmacy,17.9294559,83.4292105
B Zag Family Restaurant,restaurant,17.8803145,83.4459925
Avinash Neuro Clinic,clinic,17.8040265,83.3513809
Hema Medicals,pharmacy,17.8037495,83.352525
Beyond Autism,clinic,17.8040622,83.3478371
Manikanta Food Court,restaurant,17.8040649,83.3470123
Raju's Kitchen,restaurant,17.8040554,83.3465751
Balaji Medicals,pharmacy,17.8040652,83.3456144
MedPlus,pharmacy,17.8043659,83.3436124
Apollo Pharmacy,pharmacy,17.8045113,83.3430187
Hotel Muntaj,restaurant,17.8065254,83.3391323
BPR Restaurant,restaurant,17.8068402,83.3389506
Lotus English Medium School,school,17.8051004,83.3425095
Eat Sure,restaurant,17.804362,83.3498219
Pandit Rajasthani Restaurant,restaurant,17.7172399,83.2932379
Sharma Bhojanalaya,restaurant,17.7170499,83.2937394
Karunakar Medicals,pharmacy,17.7207941,83.3018415
Apollo Pharmacy,pharmacy,17.7289909,83.3281477
Swamy Medicals,pharmacy,17.7289105,83.3280596
Shoulder & Knee Clinic,clinic,17.7311817,83.3306733
Apollo Pharmacy,pharmacy,17.7320363,83.333213
Falak Restaurant,restaurant,17.7303144,83.3155371
moon bar & kitchen,restaurant,17.7289896,83.3139569
Apollo Pharmacy,pharmacy,17.7436237,83.3150806
Helapuri,restaurant,17.7250819,83.3058498
Sri Padmavathi Medical Stores,pharmacy,17.7277486,83.3062174
Apollo Pharmacy,pharmacy,17.7298086,83.3064227
Apollo Clinic,clinic,17.7298529,83.3063491
Sri Sai Varun Medical & General Stores,pharmacy,17.7315069,83.3066934
Sri Kumaran Medical Stores,pharmacy,17.731582,83.3069769
Kusuma Medicals,pharmacy,17.7321161,83.3067265
Sri Kanaka Sai Medicals,pharmacy,17.7334262,83.3072382
Apollo Pharmacy,pharmacy,17.7338416,83.3072822
Abids Restaurant,restaurant,17.7271488,83.303887
Indus Hospitals,hospital,17.7625271,83.3075353
Narayana Medicity,hospital,17.7621246,83.3119581
Aathidyam Restaurant,restaurant,17.7278992,83.3119523
Andhra Vindu,restaurant,17.723907,83.3136532
Sanjivani Hospital,hospital,17.7403603,83.2464417
Government School,school,17.7400572,83.2426355
Hotel Golden Alfa,restaurant,17.7428684,83.2342475
Gandhi,hospital,17.7989437,83.3963328
forest,hospital,17.7952383,83.3893022
forest,hospital,17.7953651,83.3890616
forest,hospital,17.7989074,83.3882361
beach paradise,restaurant,17.8469396,83.409493
School of Law,college,17.7830802,83.3779809
Somanadh Medicals,pharmacy,17.6872443,83.0145693
MedPlus,pharmacy,17.687792,83.0106565
Geetha Eye & Orthopaedic Hospital,hospital,17.6872398,83.0127619
Apollo Pharmacy,pharmacy,17.6871365,83.0132135
Raanos,restaurant,17.7277306,83.2242472
Helapuri Restaurant & Buffet,restaurant,17.7262423,83.3028774
Bal Vikasa Foundation Bridge School,school,17.6995098,83.3015825
Sri Basara Junior College,college,17.7347281,83.3006752
Life Medicals,pharmacy,17.7317649,83.3005017
Dhanvita Medical Stores,pharmacy,17.7315647,83.3004868
Sree Siva Narayana Medicals,pharmacy,17.7298565,83.3006959
Vinayaka Medicals,pharmacy,17.7255949,83.2988194
AP Medicals,pharmacy,17.7256461,83.2988235
Sree Venkata Rama Medicals,pharmacy,17.7262102,83.2989878
Annapurna Bhojanalayam,restaurant,17.7263411,83.2990023
AP Medicals,pharmacy,17.7269852,83.2993676
Apollo Pharmacy,pharmacy,17.7269497,83.299679
Chutneys,restaurant,17.7272525,83.3009483
Chittibabu Kodi Pulav,restaurant,17.7272568,83.3010795
MedPlus,pharmacy,17.7272838,83.3000096
Generic Medical Shop,pharmacy,17.727295,83.2996641
Waltair Mess,restaurant,17.7274878,83.2980514
Rajugari Vindhu,restaurant,17.7296691,83.2993587
MedPlus,pharmacy,17.729861,83.2991417
Generics,pharmacy,17.7307223,83.299492
Generic Medical Store,pharmacy,17.7321345,83.2992304
Apollo Pharmacy,pharmacy,17.7323019,83.2992479
Sri Vijaya Duga Medicals,pharmacy,17.7342244,83.2998045
Food World,restaurant,17.7120377,83.318272
Mayuri Restaurant,restaurant,17.7119971,83.3182333
Rajeswari Medical & General Store,pharmacy,17.750585,83.2464525
Healthcare Plus,pharmacy,17.7504386,83.2485847
Apollo Pharmacy,pharmacy,17.7501467,83.2485662
MedPlus,pharmacy,17.750277,83.2507051
Sri Gayatri Vidya Nilayam,school,17.7499395,83.2513306
K4 Restaurant,restaurant,17.7501841,83.2514842
PEN School,school,17.7497761,83.2525354
Pulka & Chapathi,restaurant,17.7497669,83.2541829
Life Generic Medical Store,pharmacy,17.7497285,83.2556278
New Ram Sai Parlour,restaurant,17.7494834,83.2563646
New Ram Sai Pure Veg Corner,restaurant,17.7492383,83.2563364
G.N. Raju Restaurant,restaurant,17.7523403,83.3499503
Anna Canteen,restaurant,17.6941843,83.0083434
Vantashala,restaurant,17.7173952,83.3047515
MedPlus,pharmacy,17.7166884,83.3045103
Kandhari,restaurant,17.7166455,83.3274557
Vijaya Medical Center,clinic,17.7401504,83.3397236
PEN School,school,17.7149959,83.3011546
Rasora Restaurant,restaurant,17.7149245,83.3010341
Alakpuri Family Restaurant,restaurant,17.7141827,83.3008151
Sri Durga Medicals,pharmacy,17.7145879,83.3002595
Mahadev Restaurant,restaurant,17.7149675,83.2991628
Zenin Pharmacy,pharmacy,17.714561,83.2988667
Vijaya Luke College Of Nursing,college,17.7151867,83.3002167
P.E.N. School,school,17.7157107,83.3008254
MedPlus,pharmacy,17.8217848,83.204506
Swami Day & Night Tiffins,restaurant,17.8224909,83.205133
NBM Law college,college,17.7390226,83.3118887
Hotel Beach Paradise,pg,17.8469583,83.4095376
Rakul Followers,pg,17.6877043,83.2447981
Hotel Blue Moon,pg,17.7130524,83.299453
Nalco guest house,pg,17.7158399,83.311481
AMCOSA functional hall,pg,17.7119764,83.3111783
Jublee home,pg,17.712467,83.3121858
Kalyan mahanthi mansion,pg,17.7100583,83.3136741
beach view guest house,pg,17.7095166,83.3146182
Trinity holy church,pg,17.7089034,83.3137492
Zion house of prayer,pg,17.7100583,83.3129231
Budhil Hotel,pg,17.7257976,83.3068515
Hotel Sai national,pg,17.7255262,83.2983783
Rockdale,pg,17.7163638,83.3083471
Four Points by Sheraton,pg,17.7208884,83.3123966
Green Park,pg,17.7153753,83.306264
Royal Fort,pg,17.7231319,83.3093748
Meghalaya,pg,17.7233686,83.3097133
Ambica Sea Green,pg,17.718696,83.3312158
Hi In,pg,17.7363567,83.3410775
Viswakarma Dormitory and Lodge,pg,17.7170391,83.2934265
OYO 60899 V3 Comforts,pg,17.8078592,83.2080963
GOVT BC COLLEGE BOYS HOSTEL,pg,17.8094801,83.2067052
Burley Cottage,pg,17.724955,83.3178831
Sri Lakshmi Lodge,pg,17.7431577,83.235134
Hotel Harita,pg,17.7191431,83.2930015
OYO Sindhura Guest House,pg,17.7391879,83.3049037
Savera Restaurant,pg,17.7247839,83.3085072
Athidhi devo bava,pg,17.7314747,83.3364845
Royal Stay Inn,pg,17.8169821,83.2068411
Hotel Sowbhagya,pg,17.7189563,83.3060968
Sri Vignesh Dormitory,pg,17.7099444,83.3041632
Signature Hotels,pg,17.7162647,83.2035517
Vani Lodge,pg,17.7123132,83.2973532
Hotel Wonderful Inn,pg,17.7126113,83.2970687
Hotel Taj Mahal,pg,17.7125116,83.2981621
My Room Luxury Stay,pg,17.7411216,83.3271854
Guest House,pg,17.7416501,83.3273443
Sri SNK Grand,pg,17.8083242,83.2086438
Sujana Ladies Hostel,pg,17.7384506,83.3365948
Hotel Square Inn,pg,17.7467352,83.3316729
Hotel Morya,pg,17.7178828,83.2929835
Sai Jutika Grand Lodge,pg,17.7161427,83.2934989
Sree Kanya Lodge,pg,17.7160765,83.2934927
KNR Residency,pg,17.7196071,83.2938829
Hotel Golden Tulip,pg,17.7197822,83.3027017
North Way Hotel,pg,17.718278,83.3024369
Hotel Akshara,pg,17.7280211,83.2931205
Ladies Hostel,pg,17.7310092,83.304227
Keerthi Residency,pg,17.735358,83.3207236
Hotel Ambica Grand,pg,17.7347789,83.3155401
Hotel Lata Grand,pg,17.7244441,83.3134939
Boys Hostel,pg,17.7241773,83.3132765
Sri Brundavan Grand Inn,pg,17.6874369,83.0160201
Hotel Geetha Inn,pg,17.7261812,83.3014099
Hotel Simhadri Lodge,pg,17.7259238,83.3014144
Lakshmi Residency,pg,17.7265454,83.3016743
RR Inn Lodge,pg,17.7264139,83.2990178
Prince Boys Hostel,pg,17.7179667,83.3038189
Sri Srinivasa Guest House,pg,17.7162258,83.3039766
Sri Balaji Ladies Hostel,pg,17.7279011,83.3095893
Hotel Ocean Spice,pg,17.7432821,83.3443006
Hotel New Prince,pg,17.7152359,83.2997851
Hotel Rajdhani,pg,17.7153208,83.2995554
Sree Surya Residency,pg,17.7156502,83.2993114
Jai Krishna Residency,pg,17.7152142,83.2992327
Ashoka Residency,pg,17.7150584,83.2991825
Hotel Rajdhani Grand,pg,17.7140095,83.2997418
Hotel Orange,pg,17.7143162,83.2998291
Hotel Sai Central,pg,17.7152076,83.3006949
Hotel Sinka Grand,pg,17.7278481,83.2969024
